Name	Set	ImageFile	Id Number	Type	Pull Cost	Attack Power	Defense Power	Pull Generated	Rarity	Traits	Rules
Dr. Maria Valdez (A148)	arcana	A148	A148	Character 	1	1	2	-	U2	"Human, Magic Circle, Fringe, Academic"	Crank to flip any Nekros.  Crank to call any Magic Circle Gear or Magic Circle Condition.
Ellen Wu (A149)	arcana	A149	A149	Character 	3	2	4	-	U1	"Human, Quisling, Neutraliser, Psychic"	Crank to pop any Environmental.
Ginger Yang (A150)	arcana	A150	A150	Character 	1	2	2	-	C2	"Human, Giovanni's Cabbie, Psychic, Registered"	"Crank any time to move her.  If this is in response to an attack, the attacker is cranked and it counts as the one attack against this player for the turn."
Yashga (A151)	arcana	A151	A151	Character 	1	3	3	-	C2	"Human, Cabal, Astral, Registered"	Cannot be attacked by Animals.
Isis Zaman (A152)	arcana	A152	A152	Character 	2	0	2	-	U2	"Human, Saou, Astral"	Last rank.  Crank any time and pay Pull equal to a Saou's Cost to Save that Saou.  Cards may be cranked out of turn to generate the needed pull.
Qubilah Zeroual (A153)	arcana	A153	A153	Character 	2	2	2	1	U2	"Human, Atlantean, Psychic"	Crank to move any Condition from her to an adjacent character that would be a valid target for the Condition.
"Deal With Sub-Randomness, The (C01)"	cutups	C01	C01	Secret 	0	-	-	-	U1		Crank to cancel any Sub-Random effect.  Crank to moive any Sub-Random Character in your conspiracy without Cranking it.
"Secret of the Cut-Ups, The (C02)"	cutups	C02	C02	Secret 	0	-	-	-	U1		Crank to give +1 to any attack against a Cut-Up.  Crank any time to make a Cut-Up Immune: Surprise.  Note: Text corrected by Errata.
"Truth About Chaos, The (C03)"	cutups	C03	C03	Secret 	0	-	-	-	U1		"Crank and pay any amount of Pull to look at an equal number of cards from the top of your deck.  Flip a coin.  Heads: All Chaos Cards go to your hand, the remainder are discarded.  Tails: all are discarded."
"Truth About Control Addiction, The (C04)"	cutups	C04	C04	Secret 	0	-	-	-	U1		"Crank and pay 2 Pull to give any Character the trait Control, or to remove the trait Control."
Matti Aaltonen (C05)	cutups	C05	C05	Character 	0	1	1	-	C1	"Human, Hermetic, Control"	Cost of all Astral cards increases by 1 when Matti is in play.  Martyr for any Hermetic or Control Character.
Andalusia Dog (C06)	cutups	C06	C06	Character 	6	1	3	*	U1	"Animal, Cut-Up"	"When another player cranks a Character foir Influence, you may crank Andalusia Dog to divert those points towards your own influence total instead."
Blatant Scam (C07)	cutups	C07	C07	Environmental 	4@	-	-	-	U1	"Cut-Up, Entrepreneur"	"Crank any time to draw a card and discard one from your hand - provided that you have defaced the illustration on the card by drawing on it, with indelible marker, a big moustache."
Claus Brinker (C08)	cutups	C08	C08	Character 	2	4	4	-	C4	"Human, Chaos, Cut-Up"	Gains +1 Power for each card named Brinker in play (including +1 for himself).
Jacob Brinker (C09)	cutups	C09	C09	Character 	4	3	4	1	U3	"Sub-Random, Chaos"	Crank to Control any Character with Gear.
Jeroen Brinker (C10)	cutups	C10	C10	Character 	1	2	2	-	U1	"Human, Astral, Chaos"	+4 AP vs. Control Characters.  May attack any Control Character regardless of its position.
Pere Brinker (C11)	cutups	C11	C11	Character 	5	4	4	1	U1	"Sub-Random, Cut-Up"	"When Pere is attacked, you may generate and pay Pull Points to increase Pere's DP by 1 for each Pull Point spent."
Brownshirt (2)	cutups	C12	C12	Character 	0	2	2	-	C3	"Human, Control"	Not unique.
Censorship Flap (C13)	cutups	C13	C13	Resource 	0@	-	-	-	U2	"Control, Government"	"Whenever opponents' Artists are cranked for Pull, you gain Influence equal to Pull generated."
"Centipede, The (C14)"	cutups	C14	C14	Character 	3	4	4	*	C4	"Human, Chaos, Burger"	"2 Pull to call Weapon, Armor, or Fringe Gear."
Chaos Chancer (C15)	cutups	C15	C15	Condition 	1@	-	-	-	C4	"Chaos, Sub-Random"	"When Character engages in combat, flip a coin.  Heads: +3 Power.  Tails: -3 Power.  Change Character's first trait to Sub-Random."
Charm Bracelet (C16)	cutups	C16	C16	Gear 	3@	-	-	2	U1	"Cut-Up, Sub-Random"	Unique character gains 2 Pull.
Cheap Baboon Trick (C17)	cutups	C17	C17	Whammy 	-	-	-	-	U3	"Chaos, Dogface"	"Play when one of your Chaos or Dog Face Characters is attacked.  You select a new target for attack, and both the original attacker and your character Gang Up on the new target.  If DP of new target is less than the total DP of both attackers, the original attacker is popped and your character survives."
Yuzhou Chen (C18)	cutups	C18	C18	Character 	3	2	2	-	U1	"Human, Control, Terminal"	Crank to pop any Astral or Sub-Random card.
Dzamilla Chielminski (C19)	cutups	C19	C19	Character 	0	1	1	-	C3	"Human, Burger, Chaos"	"If you have a Control Character in your Conspiracy, Dzamilla can be Martyred for any Character."
Closet Surrealists (C20)	cutups	C20	C20	Resource 	0	0	0	1*	C2	Cut-Up	+1 Pull to call Cut-Up cards.  Non-influence pull only.
Coatless Code (C21)	cutups	C21	C21	Environmental 	0	-	-	-	U3	"Cut-Up, Chaos"	Cut-Ups and Sub-Randoms can't attack other Cut-Ups or Sub-Randoms.
Copyright Violation (C22)	cutups	C22	C22	Whammy 	@	-	-	-	U1	"Cut-Up, Sub-Random"	"You may call, as a character in your Conspiracy, a card from any other collectable trading card game.  The first number on this card is its cost.  The second is its AP; the third its DP.  The Character has the traits Chaos and Sub-Random.  Copyright Violation may be played once per game only."
"Robert ""Doc"" Cross (C23)"	cutups	C23	C23	Character 	0	1	3	*	C4	"Human, Cut-Up, Artist"	Gains 1 Pull when Tiffany Trilobite is in Play.
Cut-Ups Method (C24)	cutups	C24	C24	Environmental 	2@	-	-	-	U1	"Cut-Up, Sub-Random"	"The object of the game is now to arrange 6 or more characters [corrected by Errata] in a row so that the first letters of their first names spell out an English word.  First player to do so wins, as do any teammates of that player.  While this card is in play, players may not accumulate Influence.  Calling this card pops and other card that changes the object of the game."
Death Car (C25)	cutups	C25	C25	Character 	3@	6	4	-	U2	"Machine, Giovanni's Cabbie, Sub-Random"	"Whenever a Giovanni's Cabbie is popped in combat, Death Car becomes active (if necessary) and attacks a Character that engaged in combat with the Cabbie regardless of position.  Can't use gear."
Deep Pockets (C26)	cutups	C26	C26	Environmental 	2	-	-	-	U3	"Control, Entrepreneur"	Players may gain additional pull by subtracting an equal number from their Influence scores.  The result may be a negative Influence total.
Deific Aura (C27)	cutups	C27	C27	Condition 	1@	-	-	-	U1	"Chaos, Astral"	"Crank Character to prevent target Character from being attacked until end of turn.  When Character is cranked, flip a coin.  If the result is tails, you lose Influence equal to the Pull of the target character, or 1 Influence whichever is greater."
"Dimension of Gnerust, The (C28)"	cutups	C28	C28	Resource 	0	-	-	1*	C2	Sub-Random	+1 Pull to call Sub-Random cards.  Non-influence pull only.
Eyeballs Drillbit (C29)	cutups	C29	C29	Character 	2	1	1	-	U2	"Human, Compton, Control"	Bulldoze.  Gear played on Eyeballs has no cost.  Gear may not be moved from Eyeballs.
Duped and Narcotized Masses (C30)	cutups	C30	C30	Resource 	0	-	-	1*	C3	Control	+1 Pull to call Control cards.  Non-Influence Pull only.
Antenella Falchi (C31)	cutups	C31	C31	Character 	2	2	4	*	C4	"Sub-Random, Sommerite"	1 Pull to call Sub-Random cards.  Crank any time to increase or decrease any Sommerite's Power by 1.
Fall of the Wall (C32)	cutups	C32	C32	Whammy 	-	-	-	-	U1	"Cut-Up, Trident"	All Control cards in play return to the hands of their original player.
Fractal Infection (C33)	cutups	C33	C33	Environmental 	0	-	-	-	C1	Entrepreneur	"If there are any cards in play that share the trait Chaos with other traits other than Human, all cards with those other Traits are also considered to have the trait Chaos.  Pops Unified Conspiracy Theory."
Funkasite (C34)	cutups	C34	C34	Whammy 	-	-	-	-	U1	"Astral, Chaos, Sub-Random"	You gain 1 Influence for every 2 Control Characters in opponents' Conspiracies.  You lose 1 Influence for every Control Character in Your Conspiracy.
Giblets Granberry (C35)	cutups	C35	C35	Character 	0	1	2	*	U3	"Human, Chaos, Criminal"	2 Pull to call Weapons.  Any Government Character can be cranked to pop Giblets.
Eunice Rae Hopner (C36)	cutups	C36	C36	Character 	3	5	3	-	U3	"Sandman, Chaos, Burger"	Surprise.  Immune: Surprise.  Crank any time to pop a Tulpa.
Horrors Count (C37)	cutups	C37	C37	Character 	3	4	6	*	U1	"Glug, Cut-Up"	"Flip Horrors any time to Avoid Combat.  When Horrors is active, you gain 1 influence each time an opponent cranks a Pharaoh or Quisling.  Immune: Psychic, Astral, Control."
Ideological Polarization (C38)	cutups	C38	C38	Condition 	2@	-	-	-	U1	Control	Target Resource becomes Unique.  Resources with the same name already in play are popped.
Michiko Ishii (C39)	cutups	C39	C39	Character 	6	2	2	-	U1	"Human, DBI, Control, Government, Cloak"	"When Michiko is called, choose a single trait other than Human.  Michiko can henceforth be cranked to pop any card with that trait."
John Isidor (C40)	cutups	C40	C40	Character 	2	5	5	-	C4	"Sub-Random, Chaos"	Any Psychic or Astral Characters can be cranked to pop Isidor.
Audrey Itsolaaq (C41)	cutups	C41	C41	Character 	1	2	3	*	C1	"Human, Cut-Up, Trident"	"Gains 1 Pull, 2 Pull to call Trident and Cut-Up cards, when you have at least one other Trident and one other Cut-Up in your Conspiracy."
Emmanuelle Karmitz (C42)	cutups	C42	C42	Character 	2	1	2	-	U2	"Human, Dogface, Chaos"	"When resolving a combat involving Emmanuelle, flip a coin.  Heads: Emmanuelle gains +6 Power."
William Kear (C43)	cutups	C43	C43	Character 	2	1	2	-	U3	"Human, Chaos, Burger"	"Crank for 1 Influence whenever you call Sub-Random, Fringe, Psychic, or Astral Gear onto an opponent's Character."
Koanhead (C44)	cutups	C44	C44	Character 	4	*	*	2	U1	"Sub-Random, Chaos"	Power equals number of Sub-Random cards in play when Koanhead is called.  All Cut-Up and Control cards are flipped while Koanhead is in play.
Life Imitates Art (C45)	cutups	C45	C45	Environmental 	2	-	-	-	U1	"Cut-Up, Artist"	The object of the game is now to be the first player with characters credited to 8 or more illustrators in play for 3 consecutive rounds.  Teammates of player fulfilling this condition also win.  Players may not accumulate Influence while this card is in play.  Calling this card pops any other card that changes the object of the game.
Evan MacDonald (C46)	cutups	C46	C46	Character 	0	1	1	-	C4	"Human, Control, Psychic, Neutraliser"	"When Evan is in Play, Astral and Sub-Random cards cannot be cranked."
Message to Space (C47)	cutups	C47	C47	Environmental 	2	-	-	-	U1	"Chaos, Cut-Up"	"The object of the game is to now have 12 or more cards in play, none of which has an even collector's number.  Teammates of anyone fulfilling this condition also win.  Calling this card pops any other cards that change the object of the game.  Players do not gain Influence while Message to Space is in play."
Mircea ? (C48)?	cutups	C48	C48	Character 	5	1	1	3	U3	"Human, Chaos, Artist"	Gains 1 DP for each Closet Surrealist Resource in play.
Oliver de Moleron (C49)	cutups	C49	C49	Character 	3	1	2	*	U1	"Human, Chaos"	"When Olivier in in your Conspiracy, you may crank your secrets for 1 influence each."
Apocalypse Moorhouse (C50)	cutups	C50	C50	Character 	2	1	1	*	U3	"Human, Low Life, Chaos"	"+2 Pull to call Low-Lifes.  When called, you may designate a specific character for which Apocalypse can be Martyred at any later point."
Akio Morimoto (C51)	cutups	C51	C51	Character 	2	4	4	-	U3	"Human, Throckmorton, Control"	(none)
Mrs. Brinker (C52)	cutups	C52	C52	Character 	3	-	1	-	U3	"Human, Cut-Up"	Last rank only.  Cannot attack.  Cannot be attacked.  Crank to Save any Cut-Up.
Abbas Nadjafi (C53)	cutups	C53	C53	Character 	3	2	4	-	C2	"Human, Control, Aries"	Crank any time to turn the top card of any deck face-up.
Newtonian Slam (C54)	cutups	C54	C54	Environmental 	1	-	-	-	C4	Control	Player calling this card may choose one other environmental to be popped.  No further environmentals may be played while Newtonian Slam is in play.
Kofi Ogunlala (C55)	cutups	C55	C55	Character 	4	4	8	-	U1	"Kergillian, Control"	Front rank only.  Crank any time to flip a character attacking a Kergillian before combat is resolved.
Oil Pan Annie (C56)	cutups	C56	C56	Character 	1	2	2	-	C1	"Human, Gladstein, Chaos"	"When Annie is in play, all Sub-Random Gear also has the trait Fringe, and vice-versa."
Mary Olekobaai (C57)	cutups	C57	C57	Character 	2	-	2	*	U3	"Human, Control, Vornite"	"Last Rank Only.  May not attack or be attacked.  +2 Pull to call Vornites, Hermetics, or Gladsteins."
Emer O'Tillery (C58)	cutups	C58	C58	Character 	1	0	2	1	C4	"Human, Throckmorton, Control"	+1 Pull to call Throckmorton cards.
Paralytic Banana (C59)	cutups	C59	C59	Gear 	2@	-	-	-	U1	Sub-Random	"Unless cranked, Character must attack highest-DP legal target.  Character many not voluntarily crank other than to attack.  Enemy combattant is flipped if it survives combat."
Personal Copier (C60)	cutups	C60	C60	Gear 	3	-	-	-	U3	"Cut-Up, Sub-Random"	Pay 1 Pull any time to give Character all special abilities of any other Character in any Conspiracy until end of turn.
Pocket Panic Button (C61)	cutups	C61	C61	Gear 	1	-	-	-	U1	"Cut-Up, Sub-Random"	"If Character is popped, it returns to your hand instead of going to the dead pile.  Character's player loses no influence if character had pull.  Pocket Panic Button is popped as normal, but any other Gear or Conditions return to owners' hands."
Protoplankton (C62)	cutups	C62	C62	Character 	1	3	3	-	C2	"Alien, Chaos, Terminal"	Can't use Gear.  Any Control Character surviving combat with Protoplankton is flipped.
Pythagorean Convulsion (C63)	cutups	C63	C63	Whammy 	-	-	-	-	U3	"Chaos, Astral"	"Play on opponent's turn.  Until end of turn, all Characters substitute their collector's numbers for their Power."
Quantum Squeezer (C64)	cutups	C64	C64	Environmental 	1	-	-	-	U2	"Control, Pharaoh, Fringe"	"Each time a player calls a Sub-Random card, that player loses 1 influence."
Excel Quitlong (C65)	cutups	C65	C65	Character 	4	5	4	1	U3	"Human, Chaos, Government, Law"	"May not attack, or be attacked by, other Government or Law Characters.  Exclude: Control Characters."
C. A. Radford (C66)	cutups	C66	C66	Character 	4	3	5	*	U1	"Sub-Random, Cut-Up"	Pull equals the number of C. A. Radfords in all dead piles (limit=3).
C. A. Radford (C67)	cutups	C67	C67	Character 	3	3	5	-	U1	"Sub-Random, Cut-Up"	Has all special abilities of all C.A. Radford's in all dead piles.
C. A. Radford (C68)	cutups	C68	C68	Character 	2	3	3	-	C1	"Sub-Random, Cut-Up"	"Sub-Random Gear on Radford may not be popped.  If Radford is popped, Sub-Randon Gear cards on her are returned to your hand instead of going to the dead pile."
C. A. Radford (C69)	cutups	C69	C69	Character 	3	3	5	-	U1	"Mutant, Cut-Up"	"When popped, all other players lose 1 Influence.  This effect may not reduce players to a negative Influence total."
C. A. Radford (C70)	cutups	C70	C70	Character 	2	2	2	-	C4	"Sub-Random, Cut-Up"	Crank any time to give +2 DP to any Character until end of turn.  Multiples of a single incarnation of Radford in dead files do no provide cumulative effects.
Rain of Walrus (C71)	cutups	C71	C71	Whammy 	-	-	-	-	U1	"Chaos, Sub-Random"	Flip a coin for each character in play.  Heads: card is popped.  Tails: no effect.  Only one Rain of Walrus may be played per game.
Really Quite Angry Kid (C72)	cutups	C72	C72	Character 	2	1	2	-	C4	"Sub-Random, Cut-Up, Chaos"	"When the Really Quite Angry Kid is in play, you may bring Sub-Random Gear cards into play without paying their cost.  These do not count against your limit for playing 0-Cost cards."
Recursive Time Loop (C73)	cutups	C73	C73	Whammy 	-	-	-	-	U1	"Chaos, Throckmorton"	All Throckmorton and Chaos cards are popped.  At least one card with each trait must be in play when Recursive Time Loop is used.  Also Pops Cut-Up Machine.
Rex (C74)	cutups	C74	C74	Character 	6	3	3	3	U1	"Animal, Le Thuy, Control"	Crank to Control any Burger or 0-Cost Character.  Can't use Gear.
Rising Fanaticism (C75)	cutups	C75	C75	Environmental 	0	-	-	-	C4	Control	Not Unique.  All 0-Pull Control Characters gain +1 AP.
Claude-Lucien Rouvier (C76)	cutups	C76	C76	Character 	1	1	1	1	C3	"Human, Cut-Up, Entrepreneur"	Any player whose Character attacks Claude-Lucien loses an Influence point.
Sacrifical Bloodbath (C77)	cutups	C77	C77	Environmental 	4	-	-	-	U1	"Chaos, Compton, Astral"	"The object of the game is now to be the first player to pop 12 Characters, or, if you are playing teams, to be a member of the team to pop 24 Characters.  While this card is in play, players may not accumulate Influence.  Calling this card pops any other card that changes the object of the game."
Stairway to Nowhere (C78)	cutups	C78	C78	Resource 	0	0	0	1*	C4	Chaos	+1 Pull to call Chaos cards.  Non-influence pull only.
Stasis Accumulator (C79)	cutups	C79	C79	Gear 	1@	-	-	-	U3	"Control, Pharaoh, Quisling"	"Crank Character any time to cancel any Chaos, Cut-up, or Sub-Random Whammy."
Serhiy Stech (C80)	cutups	C80	C80	Character 	2	*	*	*	U2	"Human, Vornite, Control"	Power equals number of Control Characters in you Conspiracy.  Pull equals number of Brownshirts in play.
Sub-Randon Subversion (C81)	cutups	C81	C81	Whammy 	-	-	-	-	C4	Sub-Random	"Pop one Control, Cloak, Saou, Government, or Throckmorton Condition."
Malak Suzier (C82)	cutups	C82	C82	Character 	2	2	3	-	U3	"Human, Throckmorton, Psychic, Control"	"+4 vs. non-Humans, Cut-Ups, and Chaos."
Anatoly Taghel (C83)	cutups	C83	C83	Character 	6	6	2	*	U1	"Human, Giovanni's Cabbie, Control"	Crank to permanently replace any Character's second trait with Giovanni's Cabbies.  Indicate changed Characters with a coin.  You gain 1 Influence each time he does this.
Tiffany Trilobite (C84)	cutups	C84	C84	Resource 	4@	-	-	-	U1	"Cut-Up, Sub-Random"	"Unique.  You may at any time look at the hands or decks of other players.  You may also force any player to discard a single card, or reshuffle any deck, but either of these actions pops Tiffany."
Unattainable Desire (C85)	cutups	C85	C85	Whammy 	-	-	-	-	C1	Control	Add 4 to the number of Influence Points needed to win the game.
Undeserved Power (C86)	cutups	C86	C86	Condition 	4	-	-	*	U2	"Control, Government"	Crank 2 Duped and Narcotized Masses to give target Character +1 Pull until end of round.
Unified Conspiracy Theory (C87)	cutups	C87	C87	Environmental 	0	-	-	-	C2	Cut-Up	"If there are any cards in play that share the trait Control with other traits other than Human, all cards with those other traits are also considered to have the trait ""Control"".  Calling this card pops Fractal Infection."
Olimpia Urgeghe (C88)	cutups	C88	C88	Character 	2	1	3	-	U3	"Sub-Random, Glorious Lord"	Crank any time to add the number of Sub-Random cards in play to any Glorious Lord's Power.
Anoop Varma (C89)	cutups	C89	C89	Character 	3	3	2	*	U1	"Mutant, Control"	Gang Up with any Mutant.  Gains 2 Pull if there is another Mutant and another Control Character in the same Conspiracy.
Isil Ziya (C90)	cutups	C90	C90	Character 	0	2	1	-	C3	"Human, Government, DBI, Cloak"	Pay 1 Pull to give her any trait for one round.  Cannot be Controlled.
Janis (CH1)	cutups	Chase01	CH1	Character 	2	2*	2*	-	--	"Nekros, Astral"	"When she is called, assign her either +4 AP or +4 DP."
Signe Lathiere (CH2)	cutups	Chase02	CH2	Character 	1	3	2	0	--	"Human, Burger"	Front rank only.  Pull=0.
Grim Linden (CH3)	cutups	Chase03	CH3	Character 	1	2*	2	-	--	"Human, Low Life"	+3 AP vs. Humans.
Chris Robinson (CH4)	cutups	Chase04	CH4	Character 	1	2	3	-	--	"Human, Cut-Up, Burger, Chaos"	"If today is Monday, Chris cannot use Gear."
About the Low-Lives (D001)	shadows	1	D001	Secret 	0	-	-	-	U1	Low Life	Crank to call any number of Low-Lifes whose Costs total 6 or less.  Crank to pop any Low-Life.
Crime & Punishment (D002)	shadows	2	D002	Secret 	0	-	-	-	U1	"Criminal, Law"	"Crank for 4 Pull to call Criminal and Law cards.  Crank any time to give a Criminal card the trait Law, or vice versa."
Mr. LeThuy's Secret (D003)	shadows	3	D003	Secret 	0	-	-	-	U1	Le Thuy	Crank for 4 Pull to call LeThuy cards.  Crank any time toi add +1 to any attack on a LeThuy.
"Net's Secret, The (D004)"	shadows	4	D004	Secret 	0	-	-	-	U1	Net	"Crank for 4 Pull to call Net cards.  Crank any time to give a Character +1 vs. Nets or to give any Net card the trait ""Criminal""."
Monty Albion (D005)	shadows	5	D005	Character 	3	3	3	-	U3	"Human, Trident, Low Life"	Crank any time to add +3 to another Character's DP.  Albion is then popped (no Save).
All-Fours (D006)	shadows	6	D006	Character 	1	2	2	-	U1	Animal	May not use Gear.  Immune: Control.
Ghadir Allemi (D007)	shadows	7	D007	Character 	1	4	4	-	U1	"Human, Throckmorton"	Crank any time to let one Character Bypass Characters to attack any Sommerite.
Lyubov Anatova (D008)	shadows	8	D008	Character 	0*	1	1	-	U1	"Human, Cloak, Low Life"	Doesn't count against 0-Cost card limit.
Alicia Andromeda (D009)	shadows	9	D009	Character 	2	1	3	1	C2	"Human, Net"	You can give 1 or 2 of your influence points to another player during that player's Influence phase.  Each other player can give you 1 or 2 of his or her Influence points during your Influence phase.  Teammates must agree to all deals involving transfer of Influence.
Annie the Rib (D010)	shadows	10	D010	Character 	2	2	2	-	C2	"Human, Lurker"	Crank to Avoid Combat.
Astral Tempest (D011)	shadows	11	D011	Condition 	1@	-	-	-	C3	Astral	"During your discard phase, remove Tempest Counters from your Characters.  During your Draw phase, Tempest's controller distributes 3 Tempest counters among this character, adjacent characters, and chartacters in this file.  Characters are -1 Power per Tempest Counter (an Astral effect)."
Atavism: Priestess of Mu (D012)	shadows	12	D012	Condition 	2@	-	-	-	U1	Astral	"Target Human or Mutant gains trait Astral and abilities ""Crank to draw a card immediately after calling an Astral Condition, Whammy, or Environmental"" and ""Exclude Pharaohs"".  Unique."
Tommy Bakka (D013)	shadows	13	D013	Character 	3	1*	1	-	U3	"Human, Le Thuy"	"May attack at +6 AP, but he cannot use weapons or armor when doing so, and he is then popped (no save)."
Andrew Banks (D014)	shadows	14	D014	Character 	4	2	5	*	U1	"Human, Guild, Fringe"	Crank to give one Character in his file +5 AP and Bulldoze; target Character is popped (no save) immediately afdter combat.  +1 Pull to call Guilds.
Rixa Bekker (D015)	shadows	15	D015	Character 	4	6	5	-	U3	"Human, Law, CPC, Registered, Psychic"	"May bypass to attack any cranked, non-Registered Psychic, or cranked, non-Registered Astral."
Bolstered Heart (D016)	shadows	16	D016	Condition 	1@	2	2	-	U1	Trident	"Power +2.  Target Low-Life loses trait ""Low-Life"" and gains ability ""Immune: Control""."
Dr. Renee Boneau (D017)	shadows	17	D017	Character 	2	2	2	1*	U1	"Human, Psychic, Fringe"	+2 Pull to call Alien cards.  She allows you to call Alien bulleted cards.  Cost alien cards as if she had the trait Alien.
Bums' Rush (D018)	shadows	18	D018	Whammy 	-	-	-	-	C4	Low Life	Any number of Low-Lifes may gang up with an attacking Low-Life.
Ace J. Cirrus (D019)	shadows	19	D019	Character 	3	4	6	-	C3	"Mutant, Net"	Crank any time to give another Character in his file +2 DP.
Contacts in the CPC (D020)	shadows	20	D020	Resource 	0@	-	-	*	C2	"Government, CPC"	2 Pull to call CPC cards.  Crank any time to reduce a non-Registered Astral's or non-Registered Psychic's DP by 1 (non-cumulative).
Jorge Corriendo (D021)	shadows	21	D021	Character 	3	4	4	-	U3	"Human, Hangman, Control"	"May Gang Up with any Hangman in his file.  Crank anytime to add his DP to the DP of any other, defending Hangman in his file; he is then a combatant and suffers any combat results that the other Hangman suffers."
Crackdown (D022)	shadows	22	D022	Environmental 	3	-	-	-	U1	Law	"Any player may pay 1 Pull and crank this card any time to cancel the effects of a Criminal's action (including combat) or to pop a Criminal condition as it is called.  The player may crank any cards necessary to generate this Pull.  This card uncranks on your turn, as normal."
Monique D'Aubainne (D023)	shadows	23	D023	Character 	9	-	9	4	U1	"Human, D'Aubainne, Net"	Last Rank.  Can't Attack.  Crank to counter the effect of any Law card (including combat).  Exclude: Cheryl & Constance D'Aubainne.
De-Individuator (D024)	shadows	24	D024	Gear 	2@	-	-	-	U3	Fringe	Character may crank any time to remove one trait from a character.
"Dead, Dead, Dead (D025)"	shadows	25	D025	Condition 	1	-	-	-	C4		"Play any time oin a non-Tulpa Character that has just been popped (and not Saved).  Instead of going to the dead pile, it remains in play in terms ofd uniqueness only.  You may crank any cards, you need to be in order to generate Pull to call this card."
T. Joe Dreck (D026)	shadows	26	D026	Character 	2	1	1	-	U3	"Human, Low Life"	Martyr for any Character with Pull that is immediately to the left of this card.
Eel (D027)	shadows	27	D027	Character 	3	4	4	-	U2	"Mutant, Lurker"	Surprise.  Characters whose AP is 6 or lower cannot select her as the target of an attack.
El Zod 7 (D028)	shadows	28	D028	Character 	1	2	1	-	C2	"Alien, Low Life"	Immune: Psychic.
Facelessness (D029)	shadows	29	D029	Whammy 	-	-	-	-	C3	Low Life	Play any time to redirect a non-Low-Life's attack from a Low-Life to any other legal Low-Life target.  The attack counts as normal toward the limit allowed against the original defending player.
May Ferendi (D030)	shadows	30	D030	Character 	0	1	3	*	U1	"Human, Le Thuy, Fringe"	+1 Pull to call Fringe Cards.  Crank to call any number of LeThuy Injections.
Roz Fernsch (D031)	shadows	31	D031	Character 	2	1*	1*	-	U2	"Mutant, Low Life"	Cannot be attacked by non-Low-Life Humans.  +4 vs. non-Low-Life Humans.
Otto Finkelstein (D032)	shadows	32	D032	Character 	3	3	4	1	U2	"Human, Hangman"	"Last Rank.  Crank any time to give all Hangmen +2 vs. Aliens, Animals, Artists. Glorious Lortds, and Mutants.  +1 Pull to call Hangmen."
Fishwipe (D033)	shadows	33	D033	Character 	0*	2	1	-	C2	"Human, Low Life"	Doesn't count against 0-Cost card limit.
Flux (D034)	shadows	34	D034	Character 	2	2	4	*	U2	"Human, Lurker"	"If Pull not = 0, crank her and one non-lurker to get 2 pull.  She has +1 Pull when cranked."
Formless (D035)	shadows	35	D035	Character 	2	3	3	*	U2	"Human, Lurker"	"If Pull not = 0, crank him and one non-lurker to get 2 pull.  He has +1 Pull when cranked."
Betty Frenum (D036)	shadows	36	D036	Character 	4	4	4	-	U1	"Human, Artist"	"If Pull=0, you get 1 Influence every time she survives a combat with an oppoenent's Character.  She has +1 Pull when cranked."
Friends in Justice Barrio (D037)	shadows	37	D037	Resource 	0	-	-	1*	C4	Hangman	Non-influence Pull only.  +1 Pull to call Hangman cards.
Friends Under the Street (D038)	shadows	38	D038	Resource 	0	-	-	1*	C4	Lurker	Non-Influence Pull only.  +1 Pull to call Lurker cards.
Miriam Galaxy (D039)	shadows	39	D039	Character 	2	2	3	-	C3	"Human, Lurker, Astral"	Bypass.  Surprise.
Pepper Grange (D040)	shadows	40	D040	Character 	1	2	2	-	C3	"Human, Hangman"	"May Gang Up with any Hangman in his file.  Crank anytime to add his DP to the DP of any other, defending Hangman in his file; he is then a combatant and suffers any combat results that the other Hangman suffers."
Julie Grouse (D041)	shadows	41	D041	Character 	3	5	5	-	U1	"Human, Criminal, Law"	Crank to add +2 to any attack against a Law or Government.
Thunder Gruen (D042)	shadows	42	D042	Character 	2	9	5	0	U2	"Human, Low Life"	"Last rank.  He is cranked when called.  After he attacks, he leaves play, except in terms of uniqueness.  Bulldoze."
Jill Grunder (D043)	shadows	43	D043	Character 	3	2	4	-	U2	"Human, Psychic, Net"	Crank any time to let any Net or Criminal.  Crank any time to give any Net +1 AP.
Gum It Up (D044)	shadows	44	D044	Whammy 	-	-	-	-	C4		Target Character may crank to pop any condition with which it shares a trait.  The condition may not be on the target character.
Roman Gundle (D045)	shadows	45	D045	Character 	3	4	4	-	U2	"Human, Hangman"	"Surprise.  May Gang Up with any Hangman in his file.  Crank anytime to add his DP to the DP of any other, defending Hangman in his file; he is then a combatant and suffers any combat results that the other Hangman suffers."
Hack-Master (D046)	shadows	46	D046	Character 	2	2	2	-	C2	"Human, Criminal"	Gang Up.
Eddie Haggle (D047)	shadows	47	D047	Character 	2	3*	2*	-	U3	"Human, Low Life"	"In combat, add his opponent's Pull to his Power."
Barber Hammock (D048)	shadows	48	D048	Character 	3	1	2*	-	U1	"Mutant, Psychic, Throckmorton"	"Crank any time to add +6 to own DP, +2 to a Throckmorton's DP, or +2 to any attack on a Mutant.  Immune: Surprise."
